,baseline,mixqtl,eqtl,type,gene_list
enhancer,80956,271,294,top_qtl,all
promoter,88928,1043,1259,top_qtl,all
open_chromatin_region,243207,681,715,top_qtl,all
promoter_flanking_region,233225,1091,1125,top_qtl,all
TF_binding_site,44674,216,209,top_qtl,all
total,10073472,24645,24645,top_qtl,all
enhancer,78117,77,79,top_qtl,strong
promoter,86677,426,490,top_qtl,strong
open_chromatin_region,224043,202,235,top_qtl,strong
promoter_flanking_region,226276,351,352,top_qtl,strong
TF_binding_site,42723,74,77,top_qtl,strong
total,8613837,7458,7458,top_qtl,strong
enhancer,78117,61,81,top_pip,strong
promoter,86677,328,435,top_pip,strong
open_chromatin_region,224043,147,169,top_pip,strong
promoter_flanking_region,226276,278,284,top_pip,strong
TF_binding_site,42723,47,57,top_pip,strong
total,8613837,5144,6124,top_pip,strong
enhancer,78117,49,61,top_pip,strong (in both)
promoter,86677,299,376,top_pip,strong (in both)
open_chromatin_region,224043,130,127,top_pip,strong (in both)
promoter_flanking_region,226276,238,197,top_pip,strong (in both)
TF_binding_site,42723,41,45,top_pip,strong (in both)
total,8613837,4499,4499,top_pip,strong (in both)
enhancer,78117,593,404,95%_cs,strong
promoter,86677,2512,2198,95%_cs,strong
open_chromatin_region,224043,1617,1114,95%_cs,strong
promoter_flanking_region,226276,2227,1690,95%_cs,strong
TF_binding_site,42723,461,359,95%_cs,strong
total,8613837,61450,45258,95%_cs,strong
enhancer,78117,331,294,95%_cs,strong (in both)
promoter,86677,1664,1756,95%_cs,strong (in both)
open_chromatin_region,224043,1009,877,95%_cs,strong (in both)
promoter_flanking_region,226276,1304,1341,95%_cs,strong (in both)
TF_binding_site,42723,279,281,95%_cs,strong (in both)
total,8613837,38134,35582,95%_cs,strong (in both)
enhancer,78117,166,193,95%_cs (shared),strong (in both)
promoter,86677,1090,1223,95%_cs (shared),strong (in both)
open_chromatin_region,224043,524,555,95%_cs (shared),strong (in both)
promoter_flanking_region,226276,789,921,95%_cs (shared),strong (in both)
TF_binding_site,42723,149,179,95%_cs (shared),strong (in both)
total,8613837,20898,23018,95%_cs (shared),strong (in both)
enhancer,78117,427,211,95%_cs (not shared),strong
promoter,86677,1422,975,95%_cs (not shared),strong
open_chromatin_region,224043,1093,559,95%_cs (not shared),strong
promoter_flanking_region,226276,1438,769,95%_cs (not shared),strong
TF_binding_site,42723,312,180,95%_cs (not shared),strong
total,8613837,40552,22240,95%_cs (not shared),strong
enhancer,78117,16,17,95%_cs (shared) top snp,strong (in both)
promoter,86677,173,193,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,224043,50,54,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,226276,77,78,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42723,15,14,95%_cs (shared) top snp,strong (in both)
total,8613837,1627,1617,95%_cs (shared) top snp,strong (in both)
enhancer,78117,28,20,95%_cs (not shared) top snp,strong
promoter,86677,178,135,95%_cs (not shared) top snp,strong
open_chromatin_region,224043,96,41,95%_cs (not shared) top snp,strong
promoter_flanking_region,226276,166,54,95%_cs (not shared) top snp,strong
TF_binding_site,42723,41,16,95%_cs (not shared) top snp,strong
total,8613837,3288,1477,95%_cs (not shared) top snp,strong
