,baseline,mixqtl,eqtl,type,gene_list
enhancer,80973,277,285,top_qtl,all
promoter,88928,788,855,top_qtl,all
open_chromatin_region,243487,675,650,top_qtl,all
promoter_flanking_region,233244,1062,1089,top_qtl,all
TF_binding_site,44710,200,205,top_qtl,all
total,10137691,24260,24260,top_qtl,all
enhancer,77897,78,71,top_qtl,strong
promoter,86403,271,270,top_qtl,strong
open_chromatin_region,224324,175,201,top_qtl,strong
promoter_flanking_region,226287,309,283,top_qtl,strong
TF_binding_site,42693,67,56,top_qtl,strong
total,8698909,6278,6278,top_qtl,strong
enhancer,77897,50,48,top_pip,strong
promoter,86403,210,199,top_pip,strong
open_chromatin_region,224324,107,130,top_pip,strong
promoter_flanking_region,226287,200,166,top_pip,strong
TF_binding_site,42693,45,32,top_pip,strong
total,8698909,3709,4110,top_pip,strong
enhancer,77897,35,27,top_pip,strong (in both)
promoter,86403,165,159,top_pip,strong (in both)
open_chromatin_region,224324,79,87,top_pip,strong (in both)
promoter_flanking_region,226287,142,117,top_pip,strong (in both)
TF_binding_site,42693,32,21,top_pip,strong (in both)
total,8698909,2749,2749,top_pip,strong (in both)
enhancer,77897,381,135,95%_cs,strong
promoter,86403,1492,805,95%_cs,strong
open_chromatin_region,224324,938,368,95%_cs,strong
promoter_flanking_region,226287,1451,517,95%_cs,strong
TF_binding_site,42693,281,67,95%_cs,strong
total,8698909,35331,14285,95%_cs,strong
enhancer,77897,131,99,95%_cs,strong (in both)
promoter,86403,638,674,95%_cs,strong (in both)
open_chromatin_region,224324,352,308,95%_cs,strong (in both)
promoter_flanking_region,226287,526,414,95%_cs,strong (in both)
TF_binding_site,42693,92,53,95%_cs,strong (in both)
total,8698909,12876,11678,95%_cs,strong (in both)
enhancer,77897,84,81,95%_cs (shared),strong (in both)
promoter,86403,426,498,95%_cs (shared),strong (in both)
open_chromatin_region,224324,205,217,95%_cs (shared),strong (in both)
promoter_flanking_region,226287,347,307,95%_cs (shared),strong (in both)
TF_binding_site,42693,47,38,95%_cs (shared),strong (in both)
total,8698909,7423,8322,95%_cs (shared),strong (in both)
enhancer,77897,297,54,95%_cs (not shared),strong
promoter,86403,1066,307,95%_cs (not shared),strong
open_chromatin_region,224324,733,151,95%_cs (not shared),strong
promoter_flanking_region,226287,1104,210,95%_cs (not shared),strong
TF_binding_site,42693,234,29,95%_cs (not shared),strong
total,8698909,27908,5963,95%_cs (not shared),strong
enhancer,77897,4,5,95%_cs (shared) top snp,strong (in both)
promoter,86403,58,53,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,224324,7,12,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,226287,16,18,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42693,9,7,95%_cs (shared) top snp,strong (in both)
total,8698909,478,475,95%_cs (shared) top snp,strong (in both)
enhancer,77897,33,3,95%_cs (not shared) top snp,strong
promoter,86403,125,44,95%_cs (not shared) top snp,strong
open_chromatin_region,224324,54,7,95%_cs (not shared) top snp,strong
promoter_flanking_region,226287,114,15,95%_cs (not shared) top snp,strong
TF_binding_site,42693,20,0,95%_cs (not shared) top snp,strong
total,8698909,1961,373,95%_cs (not shared) top snp,strong
