,baseline,mixqtl,eqtl,type,gene_list
enhancer,80959,302,259,top_qtl,all
promoter,88915,938,1028,top_qtl,all
open_chromatin_region,242909,712,711,top_qtl,all
promoter_flanking_region,233196,1137,1151,top_qtl,all
TF_binding_site,44657,219,190,top_qtl,all
total,9981193,24472,24472,top_qtl,all
enhancer,79658,106,82,top_qtl,strong
promoter,87482,389,378,top_qtl,strong
open_chromatin_region,228457,217,207,top_qtl,strong
promoter_flanking_region,229216,349,370,top_qtl,strong
TF_binding_site,43259,59,62,top_qtl,strong
total,8665617,7195,7195,top_qtl,strong
enhancer,79658,66,55,top_pip,strong
promoter,87482,314,149,top_pip,strong
open_chromatin_region,228457,163,139,top_pip,strong
promoter_flanking_region,229216,263,237,top_pip,strong
TF_binding_site,43259,37,49,top_pip,strong
total,8665617,5129,4408,top_pip,strong
enhancer,79658,45,46,top_pip,strong (in both)
promoter,87482,228,133,top_pip,strong (in both)
open_chromatin_region,228457,113,108,top_pip,strong (in both)
promoter_flanking_region,229216,167,176,top_pip,strong (in both)
TF_binding_site,43259,29,41,top_pip,strong (in both)
total,8665617,3405,3405,top_pip,strong (in both)
enhancer,79658,523,59,95%_cs,strong
promoter,87482,2141,333,95%_cs,strong
open_chromatin_region,228457,1183,162,95%_cs,strong
promoter_flanking_region,229216,1739,227,95%_cs,strong
TF_binding_site,43259,336,46,95%_cs,strong
total,8665617,46855,6378,95%_cs,strong
enhancer,79658,72,49,95%_cs,strong (in both)
promoter,87482,313,302,95%_cs,strong (in both)
open_chromatin_region,228457,189,158,95%_cs,strong (in both)
promoter_flanking_region,229216,184,209,95%_cs,strong (in both)
TF_binding_site,43259,44,33,95%_cs,strong (in both)
total,8665617,6295,5978,95%_cs,strong (in both)
enhancer,79658,33,44,95%_cs (shared),strong (in both)
promoter,87482,181,248,95%_cs (shared),strong (in both)
open_chromatin_region,228457,93,136,95%_cs (shared),strong (in both)
promoter_flanking_region,229216,104,165,95%_cs (shared),strong (in both)
TF_binding_site,43259,20,29,95%_cs (shared),strong (in both)
total,8665617,3121,4878,95%_cs (shared),strong (in both)
enhancer,79658,490,15,95%_cs (not shared),strong
promoter,87482,1960,85,95%_cs (not shared),strong
open_chromatin_region,228457,1090,26,95%_cs (not shared),strong
promoter_flanking_region,229216,1635,62,95%_cs (not shared),strong
TF_binding_site,43259,316,17,95%_cs (not shared),strong
total,8665617,43734,1500,95%_cs (not shared),strong
enhancer,79658,3,2,95%_cs (shared) top snp,strong (in both)
promoter,87482,35,35,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,228457,13,6,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,229216,11,12,95%_cs (shared) top snp,strong (in both)
TF_binding_site,43259,2,1,95%_cs (shared) top snp,strong (in both)
total,8665617,254,253,95%_cs (shared) top snp,strong (in both)
enhancer,79658,49,3,95%_cs (not shared) top snp,strong
promoter,87482,253,9,95%_cs (not shared) top snp,strong
open_chromatin_region,228457,101,1,95%_cs (not shared) top snp,strong
promoter_flanking_region,229216,145,7,95%_cs (not shared) top snp,strong
TF_binding_site,43259,37,1,95%_cs (not shared) top snp,strong
total,8665617,3327,103,95%_cs (not shared) top snp,strong
