runtime_in_min	tissue	chr	npheno
9.09	Adipose_Subcutaneous	1	2449
6.25	Adipose_Subcutaneous	2	1629
5.3	Adipose_Subcutaneous	3	1354
3.96	Adipose_Subcutaneous	4	902
4.45	Adipose_Subcutaneous	5	1140
7.15	Adipose_Subcutaneous	6	1233
4.98	Adipose_Subcutaneous	7	1213
3.75	Adipose_Subcutaneous	8	891
3.69	Adipose_Subcutaneous	9	945
4.07	Adipose_Subcutaneous	10	976
5.31	Adipose_Subcutaneous	11	1342
5.51	Adipose_Subcutaneous	12	1355
1.96	Adipose_Subcutaneous	13	462
3.55	Adipose_Subcutaneous	14	828
3.4	Adipose_Subcutaneous	15	881
4.78	Adipose_Subcutaneous	16	1183
5.83	Adipose_Subcutaneous	17	1528
1.67	Adipose_Subcutaneous	18	396
7.71	Adipose_Subcutaneous	19	1636
2.53	Adipose_Subcutaneous	20	633
1.23	Adipose_Subcutaneous	21	294
2.62	Adipose_Subcutaneous	22	610
3.72	Adrenal_Gland	1	2376
2.5	Adrenal_Gland	2	1572
2.07	Adrenal_Gland	3	1303
1.58	Adrenal_Gland	4	873
1.81	Adrenal_Gland	5	1108
2.79	Adrenal_Gland	6	1181
1.94	Adrenal_Gland	7	1177
1.52	Adrenal_Gland	8	845
1.47	Adrenal_Gland	9	909
1.55	Adrenal_Gland	10	926
2.28	Adrenal_Gland	11	1288
2.19	Adrenal_Gland	12	1292
0.72	Adrenal_Gland	13	420
1.37	Adrenal_Gland	14	788
1.31	Adrenal_Gland	15	855
1.9	Adrenal_Gland	16	1156
2.27	Adrenal_Gland	17	1464
0.63	Adrenal_Gland	18	366
3.07	Adrenal_Gland	19	1643
1	Adrenal_Gland	20	622
0.48	Adrenal_Gland	21	273
1.04	Adrenal_Gland	22	606
5.76	Artery_Aorta	1	2372
3.96	Artery_Aorta	2	1566
3.72	Artery_Aorta	3	1336
2.66	Artery_Aorta	4	897
2.87	Artery_Aorta	5	1116
4.47	Artery_Aorta	6	1209
3.13	Artery_Aorta	7	1167
2.36	Artery_Aorta	8	845
2.43	Artery_Aorta	9	927
2.52	Artery_Aorta	10	925
3.39	Artery_Aorta	11	1304
3.44	Artery_Aorta	12	1298
1.39	Artery_Aorta	13	450
2.28	Artery_Aorta	14	812
2.22	Artery_Aorta	15	870
