hour	min	sec	tissue
1	52	44	Adipose_Subcutaneous
1	29	3	Adipose_Visceral_Omentum
0	52	19	Adrenal_Gland
1	15	46	Artery_Aorta
0	47	50	Artery_Coronary
1	48	23	Artery_Tibial
0	33	14	Brain_Amygdala
0	37	59	Brain_Anterior_cingulate_cortex_BA24
0	45	40	Brain_Caudate_basal_ganglia
0	43	43	Brain_Cerebellar_Hemisphere
0	48	57	Brain_Cerebellum
0	47	33	Brain_Cortex
0	42	44	Brain_Frontal_Cortex_BA9
0	39	48	Brain_Hippocampus
0	42	5	Brain_Hypothalamus
0	45	43	Brain_Nucleus_accumbens_basal_ganglia
0	40	6	Brain_Putamen_basal_ganglia
0	33	57	Brain_Spinal_cord_cervical_c-1
0	30	44	Brain_Substantia_nigra
1	23	18	Breast_Mammary_Tissue
1	21	21	Cells_Cultured_fibroblasts
0	33	52	Cells_EBV-transformed_lymphocytes
1	4	55	Colon_Sigmoid
1	19	7	Colon_Transverse
1	7	48	Esophagus_Gastroesophageal_Junction
1	38	19	Esophagus_Mucosa
1	27	58	Esophagus_Muscularis
1	11	51	Heart_Atrial_Appendage
1	8	49	Heart_Left_Ventricle
0	26	3	Kidney_Cortex
0	42	55	Liver
1	49	59	Lung
0	39	57	Minor_Salivary_Gland
1	55	6	Muscle_Skeletal
1	52	23	Nerve_Tibial
0	41	24	Ovary
0	59	33	Pancreas
0	59	6	Pituitary
0	53	16	Prostate
1	47	10	Skin_Not_Sun_Exposed_Suprapubic
2	9	36	Skin_Sun_Exposed_Lower_leg
0	45	40	Small_Intestine_Terminal_Ileum
0	53	45	Spleen
1	8	57	Stomach
1	31	12	Testis
2	4	48	Thyroid
0	34	59	Uterus
0	40	2	Vagina
1	49	13	Whole_Blood
