,baseline,mixqtl,eqtl,type,gene_list
enhancer,80957,297,304,top_qtl,all
promoter,88903,937,1025,top_qtl,all
open_chromatin_region,243010,689,680,top_qtl,all
promoter_flanking_region,233181,1056,1142,top_qtl,all
TF_binding_site,44651,182,210,top_qtl,all
total,9986607,23735,23735,top_qtl,all
enhancer,79718,102,90,top_qtl,strong
promoter,87564,394,350,top_qtl,strong
open_chromatin_region,229300,227,234,top_qtl,strong
promoter_flanking_region,229601,330,369,top_qtl,strong
TF_binding_site,43107,69,68,top_qtl,strong
total,8734258,7313,7313,top_qtl,strong
enhancer,79718,72,71,top_pip,strong
promoter,87564,303,314,top_pip,strong
open_chromatin_region,229300,147,148,top_pip,strong
promoter_flanking_region,229601,227,253,top_pip,strong
TF_binding_site,43107,44,47,top_pip,strong
total,8734258,4912,5127,top_pip,strong
enhancer,79718,44,50,top_pip,strong (in both)
promoter,87564,250,261,top_pip,strong (in both)
open_chromatin_region,229300,113,108,top_pip,strong (in both)
promoter_flanking_region,229601,168,178,top_pip,strong (in both)
TF_binding_site,43107,34,38,top_pip,strong (in both)
total,8734258,3708,3708,top_pip,strong (in both)
enhancer,79718,1039,358,95%_cs,strong
promoter,87564,3045,1680,95%_cs,strong
open_chromatin_region,229300,2232,937,95%_cs,strong
promoter_flanking_region,229601,2963,1246,95%_cs,strong
TF_binding_site,43107,599,248,95%_cs,strong
total,8734258,86884,41476,95%_cs,strong
enhancer,79718,295,305,95%_cs,strong (in both)
promoter,87564,1252,1451,95%_cs,strong (in both)
open_chromatin_region,229300,759,791,95%_cs,strong (in both)
promoter_flanking_region,229601,848,1034,95%_cs,strong (in both)
TF_binding_site,43107,242,222,95%_cs,strong (in both)
total,8734258,33848,35872,95%_cs,strong (in both)
enhancer,79718,192,239,95%_cs (shared),strong (in both)
promoter,87564,921,1148,95%_cs (shared),strong (in both)
open_chromatin_region,229300,508,646,95%_cs (shared),strong (in both)
promoter_flanking_region,229601,558,783,95%_cs (shared),strong (in both)
TF_binding_site,43107,152,188,95%_cs (shared),strong (in both)
total,8734258,22109,28373,95%_cs (shared),strong (in both)
enhancer,79718,847,119,95%_cs (not shared),strong
promoter,87564,2124,532,95%_cs (not shared),strong
open_chromatin_region,229300,1724,291,95%_cs (not shared),strong
promoter_flanking_region,229601,2405,463,95%_cs (not shared),strong
TF_binding_site,43107,447,60,95%_cs (not shared),strong
total,8734258,64775,13103,95%_cs (not shared),strong
enhancer,79718,13,8,95%_cs (shared) top snp,strong (in both)
promoter,87564,125,119,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,229300,25,16,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,229601,28,26,95%_cs (shared) top snp,strong (in both)
TF_binding_site,43107,10,7,95%_cs (shared) top snp,strong (in both)
total,8734258,797,790,95%_cs (shared) top snp,strong (in both)
enhancer,79718,53,1,95%_cs (not shared) top snp,strong
promoter,87564,189,42,95%_cs (not shared) top snp,strong
open_chromatin_region,229300,99,8,95%_cs (not shared) top snp,strong
promoter_flanking_region,229601,162,24,95%_cs (not shared) top snp,strong
TF_binding_site,43107,34,5,95%_cs (not shared) top snp,strong
total,8734258,2907,436,95%_cs (not shared) top snp,strong
