,baseline,mixqtl,eqtl,type,gene_list
enhancer,80949,261,283,top_qtl,all
promoter,88925,807,907,top_qtl,all
open_chromatin_region,243358,598,651,top_qtl,all
promoter_flanking_region,233234,1128,1041,top_qtl,all
TF_binding_site,44744,206,191,top_qtl,all
total,10111680,23542,23542,top_qtl,all
enhancer,77567,67,69,top_qtl,strong
promoter,86335,274,249,top_qtl,strong
open_chromatin_region,223196,160,170,top_qtl,strong
promoter_flanking_region,225799,273,266,top_qtl,strong
TF_binding_site,42608,51,45,top_qtl,strong
total,8656612,5834,5834,top_qtl,strong
enhancer,77567,46,41,top_pip,strong
promoter,86335,205,177,top_pip,strong
open_chromatin_region,223196,113,102,top_pip,strong
promoter_flanking_region,225799,161,190,top_pip,strong
TF_binding_site,42608,41,34,top_pip,strong
total,8656612,3560,3765,top_pip,strong
enhancer,77567,32,30,top_pip,strong (in both)
promoter,86335,165,135,top_pip,strong (in both)
open_chromatin_region,223196,83,64,top_pip,strong (in both)
promoter_flanking_region,225799,116,126,top_pip,strong (in both)
TF_binding_site,42608,30,21,top_pip,strong (in both)
total,8656612,2514,2514,top_pip,strong (in both)
enhancer,77567,323,140,95%_cs,strong
promoter,86335,1383,624,95%_cs,strong
open_chromatin_region,223196,874,385,95%_cs,strong
promoter_flanking_region,225799,1095,456,95%_cs,strong
TF_binding_site,42608,292,65,95%_cs,strong
total,8656612,30888,12435,95%_cs,strong
enhancer,77567,129,107,95%_cs,strong (in both)
promoter,86335,550,493,95%_cs,strong (in both)
open_chromatin_region,223196,279,264,95%_cs,strong (in both)
promoter_flanking_region,225799,347,330,95%_cs,strong (in both)
TF_binding_site,42608,69,46,95%_cs,strong (in both)
total,8656612,10132,8853,95%_cs,strong (in both)
enhancer,77567,83,83,95%_cs (shared),strong (in both)
promoter,86335,388,386,95%_cs (shared),strong (in both)
open_chromatin_region,223196,138,174,95%_cs (shared),strong (in both)
promoter_flanking_region,225799,226,239,95%_cs (shared),strong (in both)
TF_binding_site,42608,30,27,95%_cs (shared),strong (in both)
total,8656612,5939,6480,95%_cs (shared),strong (in both)
enhancer,77567,240,57,95%_cs (not shared),strong
promoter,86335,995,238,95%_cs (not shared),strong
open_chromatin_region,223196,736,211,95%_cs (not shared),strong
promoter_flanking_region,225799,869,217,95%_cs (not shared),strong
TF_binding_site,42608,262,38,95%_cs (not shared),strong
total,8656612,24949,5955,95%_cs (not shared),strong
enhancer,77567,2,4,95%_cs (shared) top snp,strong (in both)
promoter,86335,56,51,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,223196,10,10,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,225799,18,18,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42608,3,3,95%_cs (shared) top snp,strong (in both)
total,8656612,376,375,95%_cs (shared) top snp,strong (in both)
enhancer,77567,28,2,95%_cs (not shared) top snp,strong
promoter,86335,118,34,95%_cs (not shared) top snp,strong
open_chromatin_region,223196,50,14,95%_cs (not shared) top snp,strong
promoter_flanking_region,225799,79,15,95%_cs (not shared) top snp,strong
TF_binding_site,42608,26,3,95%_cs (not shared) top snp,strong
total,8656612,1788,377,95%_cs (not shared) top snp,strong
