,baseline,mixqtl,eqtl,type,gene_list
enhancer,80966,283,295,top_qtl,all
promoter,88928,961,1032,top_qtl,all
open_chromatin_region,243426,669,672,top_qtl,all
promoter_flanking_region,233233,1112,1093,top_qtl,all
TF_binding_site,44663,223,206,top_qtl,all
total,10106542,23910,23910,top_qtl,all
enhancer,78284,92,106,top_qtl,strong
promoter,86803,325,335,top_qtl,strong
open_chromatin_region,225766,175,188,top_qtl,strong
promoter_flanking_region,226879,326,306,top_qtl,strong
TF_binding_site,42931,68,69,top_qtl,strong
total,8761661,6447,6447,top_qtl,strong
enhancer,78284,57,66,top_pip,strong
promoter,86803,264,281,top_pip,strong
open_chromatin_region,225766,109,147,top_pip,strong
promoter_flanking_region,226879,177,221,top_pip,strong
TF_binding_site,42931,43,50,top_pip,strong
total,8761661,3977,4734,top_pip,strong
enhancer,78284,49,46,top_pip,strong (in both)
promoter,86803,228,226,top_pip,strong (in both)
open_chromatin_region,225766,90,98,top_pip,strong (in both)
promoter_flanking_region,226879,147,141,top_pip,strong (in both)
TF_binding_site,42931,34,29,top_pip,strong (in both)
total,8761661,3246,3246,top_pip,strong (in both)
enhancer,78284,778,570,95%_cs,strong
promoter,86803,2795,1895,95%_cs,strong
open_chromatin_region,225766,2074,1246,95%_cs,strong
promoter_flanking_region,226879,2748,1757,95%_cs,strong
TF_binding_site,42931,602,410,95%_cs,strong
total,8761661,84179,55024,95%_cs,strong
enhancer,78284,395,476,95%_cs,strong (in both)
promoter,86803,1418,1606,95%_cs,strong (in both)
open_chromatin_region,225766,995,1019,95%_cs,strong (in both)
promoter_flanking_region,226879,1271,1477,95%_cs,strong (in both)
TF_binding_site,42931,319,337,95%_cs,strong (in both)
total,8761661,41010,45188,95%_cs,strong (in both)
enhancer,78284,264,426,95%_cs (shared),strong (in both)
promoter,86803,1081,1360,95%_cs (shared),strong (in both)
open_chromatin_region,225766,684,906,95%_cs (shared),strong (in both)
promoter_flanking_region,226879,806,1272,95%_cs (shared),strong (in both)
TF_binding_site,42931,226,300,95%_cs (shared),strong (in both)
total,8761661,28951,39607,95%_cs (shared),strong (in both)
enhancer,78284,514,144,95%_cs (not shared),strong
promoter,86803,1714,535,95%_cs (not shared),strong
open_chromatin_region,225766,1390,340,95%_cs (not shared),strong
promoter_flanking_region,226879,1942,485,95%_cs (not shared),strong
TF_binding_site,42931,376,110,95%_cs (not shared),strong
total,8761661,55228,15417,95%_cs (not shared),strong
enhancer,78284,11,17,95%_cs (shared) top snp,strong (in both)
promoter,86803,116,114,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,225766,24,30,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,226879,47,45,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42931,7,16,95%_cs (shared) top snp,strong (in both)
total,8761661,983,962,95%_cs (shared) top snp,strong (in both)
enhancer,78284,29,2,95%_cs (not shared) top snp,strong
promoter,86803,142,54,95%_cs (not shared) top snp,strong
open_chromatin_region,225766,74,6,95%_cs (not shared) top snp,strong
promoter_flanking_region,226879,99,24,95%_cs (not shared) top snp,strong
TF_binding_site,42931,25,2,95%_cs (not shared) top snp,strong
total,8761661,2304,506,95%_cs (not shared) top snp,strong
