,baseline,mixqtl,eqtl,type,gene_list
enhancer,80955,278,293,top_qtl,all
promoter,88937,934,1145,top_qtl,all
open_chromatin_region,243233,691,692,top_qtl,all
promoter_flanking_region,233236,1111,1131,top_qtl,all
TF_binding_site,44672,187,188,top_qtl,all
total,10078426,24330,24330,top_qtl,all
enhancer,78378,88,89,top_qtl,strong
promoter,86975,378,417,top_qtl,strong
open_chromatin_region,226089,209,233,top_qtl,strong
promoter_flanking_region,226967,345,335,top_qtl,strong
TF_binding_site,42906,68,59,top_qtl,strong
total,8725767,7587,7587,top_qtl,strong
enhancer,78378,55,78,top_pip,strong
promoter,86975,331,386,top_pip,strong
open_chromatin_region,226089,153,186,top_pip,strong
promoter_flanking_region,226967,225,293,top_pip,strong
TF_binding_site,42906,51,44,top_pip,strong
total,8725767,5158,6027,top_pip,strong
enhancer,78378,47,65,top_pip,strong (in both)
promoter,86975,298,311,top_pip,strong (in both)
open_chromatin_region,226089,128,138,top_pip,strong (in both)
promoter_flanking_region,226967,198,222,top_pip,strong (in both)
TF_binding_site,42906,46,34,top_pip,strong (in both)
total,8725767,4420,4420,top_pip,strong (in both)
enhancer,78378,1066,796,95%_cs,strong
promoter,86975,3846,2896,95%_cs,strong
open_chromatin_region,226089,2735,1920,95%_cs,strong
promoter_flanking_region,226967,3633,2512,95%_cs,strong
TF_binding_site,42906,856,703,95%_cs,strong
total,8725767,122615,83513,95%_cs,strong
enhancer,78378,516,690,95%_cs,strong (in both)
promoter,86975,2163,2437,95%_cs,strong (in both)
open_chromatin_region,226089,1479,1665,95%_cs,strong (in both)
promoter_flanking_region,226967,1881,2179,95%_cs,strong (in both)
TF_binding_site,42906,479,648,95%_cs,strong (in both)
total,8725767,64145,71111,95%_cs,strong (in both)
enhancer,78378,267,496,95%_cs (shared),strong (in both)
promoter,86975,1490,1856,95%_cs (shared),strong (in both)
open_chromatin_region,226089,905,1253,95%_cs (shared),strong (in both)
promoter_flanking_region,226967,1115,1698,95%_cs (shared),strong (in both)
TF_binding_site,42906,312,448,95%_cs (shared),strong (in both)
total,8725767,40781,52995,95%_cs (shared),strong (in both)
enhancer,78378,799,300,95%_cs (not shared),strong
promoter,86975,2356,1040,95%_cs (not shared),strong
open_chromatin_region,226089,1830,667,95%_cs (not shared),strong
promoter_flanking_region,226967,2518,814,95%_cs (not shared),strong
TF_binding_site,42906,544,255,95%_cs (not shared),strong
total,8725767,81834,30518,95%_cs (not shared),strong
enhancer,78378,11,15,95%_cs (shared) top snp,strong (in both)
promoter,86975,172,171,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,226089,48,57,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,226967,60,69,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42906,14,11,95%_cs (shared) top snp,strong (in both)
total,8725767,1499,1476,95%_cs (shared) top snp,strong (in both)
enhancer,78378,38,14,95%_cs (not shared) top snp,strong
promoter,86975,155,80,95%_cs (not shared) top snp,strong
open_chromatin_region,226089,87,20,95%_cs (not shared) top snp,strong
promoter_flanking_region,226967,158,43,95%_cs (not shared) top snp,strong
TF_binding_site,42906,32,10,95%_cs (not shared) top snp,strong
total,8725767,3153,946,95%_cs (not shared) top snp,strong
