,baseline,mixqtl,eqtl,type,gene_list
enhancer,80956,271,294,top_qtl,all
promoter,88928,1043,1259,top_qtl,all
open_chromatin_region,243207,681,715,top_qtl,all
promoter_flanking_region,233225,1091,1125,top_qtl,all
TF_binding_site,44674,216,209,top_qtl,all
total,10073472,24645,24645,top_qtl,all
enhancer,78117,77,79,top_qtl,strong
promoter,86677,426,490,top_qtl,strong
open_chromatin_region,224043,202,235,top_qtl,strong
promoter_flanking_region,226276,351,352,top_qtl,strong
TF_binding_site,42723,74,77,top_qtl,strong
total,8613837,7458,7458,top_qtl,strong
enhancer,78117,61,81,top_pip,strong
promoter,86677,328,435,top_pip,strong
open_chromatin_region,224043,147,169,top_pip,strong
promoter_flanking_region,226276,278,284,top_pip,strong
TF_binding_site,42723,47,57,top_pip,strong
total,8613837,5144,6124,top_pip,strong
enhancer,78117,49,61,top_pip,strong (in both)
promoter,86677,299,376,top_pip,strong (in both)
open_chromatin_region,224043,130,127,top_pip,strong (in both)
promoter_flanking_region,226276,238,197,top_pip,strong (in both)
TF_binding_site,42723,41,45,top_pip,strong (in both)
total,8613837,4499,4499,top_pip,strong (in both)
enhancer,78117,1030,973,95%_cs,strong
promoter,86677,3675,3449,95%_cs,strong
open_chromatin_region,224043,2721,2246,95%_cs,strong
promoter_flanking_region,226276,3653,2947,95%_cs,strong
TF_binding_site,42723,782,786,95%_cs,strong
total,8613837,111642,99733,95%_cs,strong
enhancer,78117,594,723,95%_cs,strong (in both)
promoter,86677,2369,2637,95%_cs,strong (in both)
open_chromatin_region,224043,1677,1745,95%_cs,strong (in both)
promoter_flanking_region,226276,2058,2278,95%_cs,strong (in both)
TF_binding_site,42723,480,630,95%_cs,strong (in both)
total,8613837,68942,75440,95%_cs,strong (in both)
enhancer,78117,334,536,95%_cs (shared),strong (in both)
promoter,86677,1593,1983,95%_cs (shared),strong (in both)
open_chromatin_region,224043,958,1242,95%_cs (shared),strong (in both)
promoter_flanking_region,226276,1250,1693,95%_cs (shared),strong (in both)
TF_binding_site,42723,296,472,95%_cs (shared),strong (in both)
total,8613837,42152,55137,95%_cs (shared),strong (in both)
enhancer,78117,696,437,95%_cs (not shared),strong
promoter,86677,2082,1466,95%_cs (not shared),strong
open_chromatin_region,224043,1763,1004,95%_cs (not shared),strong
promoter_flanking_region,226276,2403,1254,95%_cs (not shared),strong
TF_binding_site,42723,486,314,95%_cs (not shared),strong
total,8613837,69490,44596,95%_cs (not shared),strong
enhancer,78117,17,18,95%_cs (shared) top snp,strong (in both)
promoter,86677,178,199,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,224043,55,55,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,226276,78,80,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42723,15,16,95%_cs (shared) top snp,strong (in both)
total,8613837,1741,1726,95%_cs (shared) top snp,strong (in both)
enhancer,78117,28,19,95%_cs (not shared) top snp,strong
promoter,86677,174,131,95%_cs (not shared) top snp,strong
open_chromatin_region,224043,92,40,95%_cs (not shared) top snp,strong
promoter_flanking_region,226276,166,52,95%_cs (not shared) top snp,strong
TF_binding_site,42723,41,14,95%_cs (not shared) top snp,strong
total,8613837,3191,1383,95%_cs (not shared) top snp,strong
