,baseline,mixqtl,eqtl,type,gene_list
enhancer,80973,268,320,top_qtl,all
promoter,88925,828,1007,top_qtl,all
open_chromatin_region,243533,708,678,top_qtl,all
promoter_flanking_region,233266,1088,1047,top_qtl,all
TF_binding_site,44728,200,202,top_qtl,all
total,10130679,23865,23865,top_qtl,all
enhancer,78631,74,84,top_qtl,strong
promoter,87065,276,314,top_qtl,strong
open_chromatin_region,227580,213,205,top_qtl,strong
promoter_flanking_region,227840,331,270,top_qtl,strong
TF_binding_site,42923,60,71,top_qtl,strong
total,8871886,6614,6614,top_qtl,strong
enhancer,78631,67,66,top_pip,strong
promoter,87065,222,233,top_pip,strong
open_chromatin_region,227580,119,117,top_pip,strong
promoter_flanking_region,227840,228,219,top_pip,strong
TF_binding_site,42923,51,49,top_pip,strong
total,8871886,4543,4696,top_pip,strong
enhancer,78631,43,53,top_pip,strong (in both)
promoter,87065,182,200,top_pip,strong (in both)
open_chromatin_region,227580,94,80,top_pip,strong (in both)
promoter_flanking_region,227840,157,159,top_pip,strong (in both)
TF_binding_site,42923,39,36,top_pip,strong (in both)
total,8871886,3411,3411,top_pip,strong (in both)
enhancer,78631,622,447,95%_cs,strong
promoter,87065,2454,1571,95%_cs,strong
open_chromatin_region,227580,1891,1019,95%_cs,strong
promoter_flanking_region,227840,2461,1348,95%_cs,strong
TF_binding_site,42923,575,334,95%_cs,strong
total,8871886,75552,45447,95%_cs,strong
enhancer,78631,258,354,95%_cs,strong (in both)
promoter,87065,1114,1123,95%_cs,strong (in both)
open_chromatin_region,227580,738,782,95%_cs,strong (in both)
promoter_flanking_region,227840,938,1041,95%_cs,strong (in both)
TF_binding_site,42923,204,278,95%_cs,strong (in both)
total,8871886,28895,33698,95%_cs,strong (in both)
enhancer,78631,181,279,95%_cs (shared),strong (in both)
promoter,87065,707,826,95%_cs (shared),strong (in both)
open_chromatin_region,227580,450,613,95%_cs (shared),strong (in both)
promoter_flanking_region,227840,588,730,95%_cs (shared),strong (in both)
TF_binding_site,42923,126,232,95%_cs (shared),strong (in both)
total,8871886,18240,25785,95%_cs (shared),strong (in both)
enhancer,78631,441,168,95%_cs (not shared),strong
promoter,87065,1747,745,95%_cs (not shared),strong
open_chromatin_region,227580,1441,406,95%_cs (not shared),strong
promoter_flanking_region,227840,1873,618,95%_cs (not shared),strong
TF_binding_site,42923,449,102,95%_cs (not shared),strong
total,8871886,57312,19662,95%_cs (not shared),strong
enhancer,78631,5,8,95%_cs (shared) top snp,strong (in both)
promoter,87065,68,68,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,227580,20,15,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,227840,33,32,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42923,6,5,95%_cs (shared) top snp,strong (in both)
total,8871886,629,622,95%_cs (shared) top snp,strong (in both)
enhancer,78631,26,7,95%_cs (not shared) top snp,strong
promoter,87065,104,58,95%_cs (not shared) top snp,strong
open_chromatin_region,227580,60,9,95%_cs (not shared) top snp,strong
promoter_flanking_region,227840,107,19,95%_cs (not shared) top snp,strong
TF_binding_site,42923,22,6,95%_cs (not shared) top snp,strong
total,8871886,2230,636,95%_cs (not shared) top snp,strong
