,baseline,mixqtl,eqtl,type,gene_list
enhancer,80969,308,287,top_qtl,all
promoter,88922,745,874,top_qtl,all
open_chromatin_region,243321,611,659,top_qtl,all
promoter_flanking_region,233229,1038,1062,top_qtl,all
TF_binding_site,44720,200,193,top_qtl,all
total,10107576,23623,23623,top_qtl,all
enhancer,77515,73,76,top_qtl,strong
promoter,86173,236,267,top_qtl,strong
open_chromatin_region,221937,169,160,top_qtl,strong
promoter_flanking_region,225210,303,275,top_qtl,strong
TF_binding_site,42490,54,55,top_qtl,strong
total,8584423,5764,5764,top_qtl,strong
enhancer,77515,52,46,top_pip,strong
promoter,86173,166,188,top_pip,strong
open_chromatin_region,221937,125,121,top_pip,strong
promoter_flanking_region,225210,205,186,top_pip,strong
TF_binding_site,42490,37,39,top_pip,strong
total,8584423,3906,4018,top_pip,strong
enhancer,77515,43,34,top_pip,strong (in both)
promoter,86173,138,149,top_pip,strong (in both)
open_chromatin_region,221937,102,93,top_pip,strong (in both)
promoter_flanking_region,225210,148,130,top_pip,strong (in both)
TF_binding_site,42490,24,27,top_pip,strong (in both)
total,8584423,2872,2872,top_pip,strong (in both)
enhancer,77515,363,152,95%_cs,strong
promoter,86173,1186,790,95%_cs,strong
open_chromatin_region,221937,867,434,95%_cs,strong
promoter_flanking_region,225210,1256,626,95%_cs,strong
TF_binding_site,42490,244,95,95%_cs,strong
total,8584423,30290,14949,95%_cs,strong
enhancer,77515,142,120,95%_cs,strong (in both)
promoter,86173,507,608,95%_cs,strong (in both)
open_chromatin_region,221937,316,326,95%_cs,strong (in both)
promoter_flanking_region,225210,422,478,95%_cs,strong (in both)
TF_binding_site,42490,74,70,95%_cs,strong (in both)
total,8584423,10665,11000,95%_cs,strong (in both)
enhancer,77515,94,96,95%_cs (shared),strong (in both)
promoter,86173,344,409,95%_cs (shared),strong (in both)
open_chromatin_region,221937,197,229,95%_cs (shared),strong (in both)
promoter_flanking_region,225210,285,343,95%_cs (shared),strong (in both)
TF_binding_site,42490,30,49,95%_cs (shared),strong (in both)
total,8584423,6345,7372,95%_cs (shared),strong (in both)
enhancer,77515,269,56,95%_cs (not shared),strong
promoter,86173,842,381,95%_cs (not shared),strong
open_chromatin_region,221937,670,205,95%_cs (not shared),strong
promoter_flanking_region,225210,971,283,95%_cs (not shared),strong
TF_binding_site,42490,214,46,95%_cs (not shared),strong
total,8584423,23945,7577,95%_cs (not shared),strong
enhancer,77515,5,4,95%_cs (shared) top snp,strong (in both)
promoter,86173,50,47,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,221937,16,11,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,225210,19,17,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42490,6,4,95%_cs (shared) top snp,strong (in both)
total,8584423,415,414,95%_cs (shared) top snp,strong (in both)
enhancer,77515,28,2,95%_cs (not shared) top snp,strong
promoter,86173,85,37,95%_cs (not shared) top snp,strong
open_chromatin_region,221937,69,14,95%_cs (not shared) top snp,strong
promoter_flanking_region,225210,103,20,95%_cs (not shared) top snp,strong
TF_binding_site,42490,12,4,95%_cs (not shared) top snp,strong
total,8584423,1929,439,95%_cs (not shared) top snp,strong
