,baseline,mixqtl,eqtl,type,gene_list
enhancer,80944,287,281,top_qtl,all
promoter,88915,781,971,top_qtl,all
open_chromatin_region,243204,636,688,top_qtl,all
promoter_flanking_region,233227,987,1049,top_qtl,all
TF_binding_site,44661,204,204,top_qtl,all
total,10083559,23031,23031,top_qtl,all
enhancer,77280,81,67,top_qtl,strong
promoter,86048,244,250,top_qtl,strong
open_chromatin_region,220977,165,167,top_qtl,strong
promoter_flanking_region,224417,243,269,top_qtl,strong
TF_binding_site,42448,74,66,top_qtl,strong
total,8511543,5665,5665,top_qtl,strong
enhancer,77280,60,44,top_pip,strong
promoter,86048,182,207,top_pip,strong
open_chromatin_region,220977,109,107,top_pip,strong
promoter_flanking_region,224417,196,187,top_pip,strong
TF_binding_site,42448,62,47,top_pip,strong
total,8511543,3586,3971,top_pip,strong
enhancer,77280,48,33,top_pip,strong (in both)
promoter,86048,162,161,top_pip,strong (in both)
open_chromatin_region,220977,85,60,top_pip,strong (in both)
promoter_flanking_region,224417,158,146,top_pip,strong (in both)
TF_binding_site,42448,48,31,top_pip,strong (in both)
total,8511543,2766,2766,top_pip,strong (in both)
enhancer,77280,375,206,95%_cs,strong
promoter,86048,1428,879,95%_cs,strong
open_chromatin_region,220977,923,461,95%_cs,strong
promoter_flanking_region,224417,1243,721,95%_cs,strong
TF_binding_site,42448,288,111,95%_cs,strong
total,8511543,32894,17183,95%_cs,strong
enhancer,77280,160,128,95%_cs,strong (in both)
promoter,86048,710,707,95%_cs,strong (in both)
open_chromatin_region,220977,380,337,95%_cs,strong (in both)
promoter_flanking_region,224417,498,519,95%_cs,strong (in both)
TF_binding_site,42448,115,70,95%_cs,strong (in both)
total,8511543,14205,12551,95%_cs,strong (in both)
enhancer,77280,104,97,95%_cs (shared),strong (in both)
promoter,86048,504,532,95%_cs (shared),strong (in both)
open_chromatin_region,220977,228,227,95%_cs (shared),strong (in both)
promoter_flanking_region,224417,269,302,95%_cs (shared),strong (in both)
TF_binding_site,42448,45,47,95%_cs (shared),strong (in both)
total,8511543,8132,8697,95%_cs (shared),strong (in both)
enhancer,77280,271,109,95%_cs (not shared),strong
promoter,86048,924,347,95%_cs (not shared),strong
open_chromatin_region,220977,695,234,95%_cs (not shared),strong
promoter_flanking_region,224417,974,419,95%_cs (not shared),strong
TF_binding_site,42448,243,64,95%_cs (not shared),strong
total,8511543,24762,8486,95%_cs (not shared),strong
enhancer,77280,11,8,95%_cs (shared) top snp,strong (in both)
promoter,86048,73,77,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,220977,20,20,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,224417,23,28,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42448,9,4,95%_cs (shared) top snp,strong (in both)
total,8511543,555,554,95%_cs (shared) top snp,strong (in both)
enhancer,77280,32,5,95%_cs (not shared) top snp,strong
promoter,86048,100,44,95%_cs (not shared) top snp,strong
open_chromatin_region,220977,61,14,95%_cs (not shared) top snp,strong
promoter_flanking_region,224417,115,28,95%_cs (not shared) top snp,strong
TF_binding_site,42448,37,6,95%_cs (not shared) top snp,strong
total,8511543,1980,532,95%_cs (not shared) top snp,strong
