,baseline,mixqtl,eqtl,type,gene_list
enhancer,80974,262,278,top_qtl,all
promoter,88926,694,817,top_qtl,all
open_chromatin_region,243436,701,682,top_qtl,all
promoter_flanking_region,233269,1105,1143,top_qtl,all
TF_binding_site,44721,187,190,top_qtl,all
total,10134496,23859,23859,top_qtl,all
enhancer,76303,53,66,top_qtl,strong
promoter,85524,225,201,top_qtl,strong
open_chromatin_region,216485,140,142,top_qtl,strong
promoter_flanking_region,222940,271,282,top_qtl,strong
TF_binding_site,41988,50,57,top_qtl,strong
total,8292212,5341,5341,top_qtl,strong
enhancer,76303,41,48,top_pip,strong
promoter,85524,167,148,top_pip,strong
open_chromatin_region,216485,103,92,top_pip,strong
promoter_flanking_region,222940,168,171,top_pip,strong
TF_binding_site,41988,33,39,top_pip,strong
total,8292212,3321,3507,top_pip,strong
enhancer,76303,29,30,top_pip,strong (in both)
promoter,85524,138,110,top_pip,strong (in both)
open_chromatin_region,216485,73,56,top_pip,strong (in both)
promoter_flanking_region,222940,127,117,top_pip,strong (in both)
TF_binding_site,41988,21,28,top_pip,strong (in both)
total,8292212,2401,2401,top_pip,strong (in both)
enhancer,76303,599,294,95%_cs,strong
promoter,85524,2021,1086,95%_cs,strong
open_chromatin_region,216485,1572,785,95%_cs,strong
promoter_flanking_region,222940,1759,1110,95%_cs,strong
TF_binding_site,41988,423,227,95%_cs,strong
total,8292212,59273,32012,95%_cs,strong
enhancer,76303,165,221,95%_cs,strong (in both)
promoter,85524,766,886,95%_cs,strong (in both)
open_chromatin_region,216485,539,594,95%_cs,strong (in both)
promoter_flanking_region,222940,517,794,95%_cs,strong (in both)
TF_binding_site,41988,176,184,95%_cs,strong (in both)
total,8292212,21894,25354,95%_cs,strong (in both)
enhancer,76303,96,186,95%_cs (shared),strong (in both)
promoter,85524,595,746,95%_cs (shared),strong (in both)
open_chromatin_region,216485,377,485,95%_cs (shared),strong (in both)
promoter_flanking_region,222940,346,651,95%_cs (shared),strong (in both)
TF_binding_site,41988,128,159,95%_cs (shared),strong (in both)
total,8292212,15033,20809,95%_cs (shared),strong (in both)
enhancer,76303,503,108,95%_cs (not shared),strong
promoter,85524,1426,340,95%_cs (not shared),strong
open_chromatin_region,216485,1195,300,95%_cs (not shared),strong
promoter_flanking_region,222940,1413,459,95%_cs (not shared),strong
TF_binding_site,41988,295,68,95%_cs (not shared),strong
total,8292212,44240,11203,95%_cs (not shared),strong
enhancer,76303,6,9,95%_cs (shared) top snp,strong (in both)
promoter,85524,50,42,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,216485,15,7,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,222940,23,23,95%_cs (shared) top snp,strong (in both)
TF_binding_site,41988,10,9,95%_cs (shared) top snp,strong (in both)
total,8292212,474,465,95%_cs (shared) top snp,strong (in both)
enhancer,76303,20,6,95%_cs (not shared) top snp,strong
promoter,85524,97,19,95%_cs (not shared) top snp,strong
open_chromatin_region,216485,43,14,95%_cs (not shared) top snp,strong
promoter_flanking_region,222940,76,10,95%_cs (not shared) top snp,strong
TF_binding_site,41988,21,1,95%_cs (not shared) top snp,strong
total,8292212,1658,303,95%_cs (not shared) top snp,strong
