,baseline,mixqtl,eqtl,type,gene_list
enhancer,80969,290,276,top_qtl,all
promoter,88921,642,703,top_qtl,all
open_chromatin_region,243298,645,623,top_qtl,all
promoter_flanking_region,233219,1053,1064,top_qtl,all
TF_binding_site,44701,187,216,top_qtl,all
total,10098185,23262,23262,top_qtl,all
enhancer,75966,76,65,top_qtl,strong
promoter,85042,184,161,top_qtl,strong
open_chromatin_region,215162,148,136,top_qtl,strong
promoter_flanking_region,221987,262,246,top_qtl,strong
TF_binding_site,41801,46,43,top_qtl,strong
total,8219854,4919,4919,top_qtl,strong
enhancer,75966,39,43,top_pip,strong
promoter,85042,124,105,top_pip,strong
open_chromatin_region,215162,73,86,top_pip,strong
promoter_flanking_region,221987,168,155,top_pip,strong
TF_binding_site,41801,25,22,top_pip,strong
total,8219854,2814,2905,top_pip,strong
enhancer,75966,27,21,top_pip,strong (in both)
promoter,85042,89,75,top_pip,strong (in both)
open_chromatin_region,215162,46,58,top_pip,strong (in both)
promoter_flanking_region,221987,108,99,top_pip,strong (in both)
TF_binding_site,41801,12,13,top_pip,strong (in both)
total,8219854,1836,1836,top_pip,strong (in both)
enhancer,75966,449,247,95%_cs,strong
promoter,85042,1429,693,95%_cs,strong
open_chromatin_region,215162,1156,482,95%_cs,strong
promoter_flanking_region,221987,1512,607,95%_cs,strong
TF_binding_site,41801,331,197,95%_cs,strong
total,8219854,47361,21733,95%_cs,strong
enhancer,75966,91,141,95%_cs,strong (in both)
promoter,85042,431,510,95%_cs,strong (in both)
open_chromatin_region,215162,245,326,95%_cs,strong (in both)
promoter_flanking_region,221987,293,390,95%_cs,strong (in both)
TF_binding_site,41801,119,145,95%_cs,strong (in both)
total,8219854,11745,14111,95%_cs,strong (in both)
enhancer,75966,68,130,95%_cs (shared),strong (in both)
promoter,85042,341,420,95%_cs (shared),strong (in both)
open_chromatin_region,215162,189,291,95%_cs (shared),strong (in both)
promoter_flanking_region,221987,197,299,95%_cs (shared),strong (in both)
TF_binding_site,41801,103,132,95%_cs (shared),strong (in both)
total,8219854,9228,12162,95%_cs (shared),strong (in both)
enhancer,75966,381,117,95%_cs (not shared),strong
promoter,85042,1088,273,95%_cs (not shared),strong
open_chromatin_region,215162,967,191,95%_cs (not shared),strong
promoter_flanking_region,221987,1315,308,95%_cs (not shared),strong
TF_binding_site,41801,228,65,95%_cs (not shared),strong
total,8219854,38133,9571,95%_cs (not shared),strong
enhancer,75966,4,5,95%_cs (shared) top snp,strong (in both)
promoter,85042,31,24,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,215162,3,7,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,221987,12,17,95%_cs (shared) top snp,strong (in both)
TF_binding_site,41801,1,3,95%_cs (shared) top snp,strong (in both)
total,8219854,267,263,95%_cs (shared) top snp,strong (in both)
enhancer,75966,24,4,95%_cs (not shared) top snp,strong
promoter,85042,70,14,95%_cs (not shared) top snp,strong
open_chromatin_region,215162,41,9,95%_cs (not shared) top snp,strong
promoter_flanking_region,221987,92,12,95%_cs (not shared) top snp,strong
TF_binding_site,41801,15,0,95%_cs (not shared) top snp,strong
total,8219854,1390,194,95%_cs (not shared) top snp,strong
