,baseline,mixqtl,eqtl,type,gene_list
enhancer,80953,312,284,top_qtl,all
promoter,88908,619,617,top_qtl,all
open_chromatin_region,242984,681,710,top_qtl,all
promoter_flanking_region,233186,1066,1058,top_qtl,all
TF_binding_site,44647,218,195,top_qtl,all
total,9980897,24028,24028,top_qtl,all
enhancer,73980,64,51,top_qtl,strong
promoter,82509,200,136,top_qtl,strong
open_chromatin_region,203401,138,142,top_qtl,strong
promoter_flanking_region,215888,230,247,top_qtl,strong
TF_binding_site,40612,55,44,top_qtl,strong
total,7520919,4596,4596,top_qtl,strong
enhancer,73980,34,28,top_pip,strong
promoter,82509,129,85,top_pip,strong
open_chromatin_region,203401,83,73,top_pip,strong
promoter_flanking_region,215888,139,150,top_pip,strong
TF_binding_site,40612,32,32,top_pip,strong
total,7520919,2614,2500,top_pip,strong
enhancer,73980,21,15,top_pip,strong (in both)
promoter,82509,98,64,top_pip,strong (in both)
open_chromatin_region,203401,44,38,top_pip,strong (in both)
promoter_flanking_region,215888,81,86,top_pip,strong (in both)
TF_binding_site,40612,21,17,top_pip,strong (in both)
total,7520919,1554,1554,top_pip,strong (in both)
enhancer,73980,403,118,95%_cs,strong
promoter,82509,1303,395,95%_cs,strong
open_chromatin_region,203401,988,274,95%_cs,strong
promoter_flanking_region,215888,1296,308,95%_cs,strong
TF_binding_site,40612,356,131,95%_cs,strong
total,7520919,38688,11744,95%_cs,strong
enhancer,73980,48,61,95%_cs,strong (in both)
promoter,82509,263,306,95%_cs,strong (in both)
open_chromatin_region,203401,131,169,95%_cs,strong (in both)
promoter_flanking_region,215888,153,213,95%_cs,strong (in both)
TF_binding_site,40612,49,81,95%_cs,strong (in both)
total,7520919,5491,7535,95%_cs,strong (in both)
enhancer,73980,35,47,95%_cs (shared),strong (in both)
promoter,82509,223,287,95%_cs (shared),strong (in both)
open_chromatin_region,203401,102,147,95%_cs (shared),strong (in both)
promoter_flanking_region,215888,104,185,95%_cs (shared),strong (in both)
TF_binding_site,40612,44,76,95%_cs (shared),strong (in both)
total,7520919,4330,6545,95%_cs (shared),strong (in both)
enhancer,73980,368,71,95%_cs (not shared),strong
promoter,82509,1080,108,95%_cs (not shared),strong
open_chromatin_region,203401,886,127,95%_cs (not shared),strong
promoter_flanking_region,215888,1192,123,95%_cs (not shared),strong
TF_binding_site,40612,312,55,95%_cs (not shared),strong
total,7520919,34358,5199,95%_cs (not shared),strong
enhancer,73980,0,1,95%_cs (shared) top snp,strong (in both)
promoter,82509,22,24,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,203401,3,4,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,215888,7,5,95%_cs (shared) top snp,strong (in both)
TF_binding_site,40612,2,2,95%_cs (shared) top snp,strong (in both)
total,7520919,127,127,95%_cs (shared) top snp,strong (in both)
enhancer,73980,21,0,95%_cs (not shared) top snp,strong
promoter,82509,66,3,95%_cs (not shared) top snp,strong
open_chromatin_region,203401,45,3,95%_cs (not shared) top snp,strong
promoter_flanking_region,215888,62,5,95%_cs (not shared) top snp,strong
TF_binding_site,40612,15,1,95%_cs (not shared) top snp,strong
total,7520919,1154,98,95%_cs (not shared) top snp,strong
