,baseline,mixqtl,eqtl,type,gene_list
enhancer,80937,303,299,top_qtl,all
promoter,88921,878,935,top_qtl,all
open_chromatin_region,242913,690,689,top_qtl,all
promoter_flanking_region,233147,1142,1127,top_qtl,all
TF_binding_site,44617,193,203,top_qtl,all
total,9976031,24758,24758,top_qtl,all
enhancer,78718,88,85,top_qtl,strong
promoter,86799,359,318,top_qtl,strong
open_chromatin_region,224241,196,180,top_qtl,strong
promoter_flanking_region,227265,359,305,top_qtl,strong
TF_binding_site,42664,62,55,top_qtl,strong
total,8449788,6820,6820,top_qtl,strong
enhancer,78718,61,67,top_pip,strong
promoter,86799,253,233,top_pip,strong
open_chromatin_region,224241,118,128,top_pip,strong
promoter_flanking_region,227265,248,177,top_pip,strong
TF_binding_site,42664,35,37,top_pip,strong
total,8449788,4362,4406,top_pip,strong
enhancer,78718,37,51,top_pip,strong (in both)
promoter,86799,198,189,top_pip,strong (in both)
open_chromatin_region,224241,80,89,top_pip,strong (in both)
promoter_flanking_region,227265,166,136,top_pip,strong (in both)
TF_binding_site,42664,23,24,top_pip,strong (in both)
total,8449788,3085,3085,top_pip,strong (in both)
enhancer,78718,772,277,95%_cs,strong
promoter,86799,2576,1122,95%_cs,strong
open_chromatin_region,224241,1724,669,95%_cs,strong
promoter_flanking_region,227265,2645,1111,95%_cs,strong
TF_binding_site,42664,524,300,95%_cs,strong
total,8449788,70104,28910,95%_cs,strong
enhancer,78718,195,219,95%_cs,strong (in both)
promoter,86799,845,929,95%_cs,strong (in both)
open_chromatin_region,224241,458,557,95%_cs,strong (in both)
promoter_flanking_region,227265,711,902,95%_cs,strong (in both)
TF_binding_site,42664,163,233,95%_cs,strong (in both)
total,8449788,19387,23828,95%_cs,strong (in both)
enhancer,78718,120,199,95%_cs (shared),strong (in both)
promoter,86799,577,808,95%_cs (shared),strong (in both)
open_chromatin_region,224241,298,487,95%_cs (shared),strong (in both)
promoter_flanking_region,227265,495,800,95%_cs (shared),strong (in both)
TF_binding_site,42664,132,224,95%_cs (shared),strong (in both)
total,8449788,12430,21249,95%_cs (shared),strong (in both)
enhancer,78718,652,78,95%_cs (not shared),strong
promoter,86799,1999,314,95%_cs (not shared),strong
open_chromatin_region,224241,1426,182,95%_cs (not shared),strong
promoter_flanking_region,227265,2150,311,95%_cs (not shared),strong
TF_binding_site,42664,392,76,95%_cs (not shared),strong
total,8449788,57674,7661,95%_cs (not shared),strong
enhancer,78718,2,3,95%_cs (shared) top snp,strong (in both)
promoter,86799,77,77,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,224241,13,7,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,227265,18,20,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42664,9,6,95%_cs (shared) top snp,strong (in both)
total,8449788,496,491,95%_cs (shared) top snp,strong (in both)
enhancer,78718,37,3,95%_cs (not shared) top snp,strong
promoter,86799,159,32,95%_cs (not shared) top snp,strong
open_chromatin_region,224241,61,10,95%_cs (not shared) top snp,strong
promoter_flanking_region,227265,141,15,95%_cs (not shared) top snp,strong
TF_binding_site,42664,17,2,95%_cs (not shared) top snp,strong
total,8449788,2476,300,95%_cs (not shared) top snp,strong
