,baseline,mixqtl,eqtl,type,gene_list
enhancer,80959,314,302,top_qtl,all
promoter,88926,858,964,top_qtl,all
open_chromatin_region,242931,645,734,top_qtl,all
promoter_flanking_region,233201,1174,1158,top_qtl,all
TF_binding_site,44669,224,210,top_qtl,all
total,9996932,25372,25372,top_qtl,all
enhancer,79188,100,102,top_qtl,strong
promoter,87181,380,335,top_qtl,strong
open_chromatin_region,225743,193,219,top_qtl,strong
promoter_flanking_region,228517,374,376,top_qtl,strong
TF_binding_site,42874,72,67,top_qtl,strong
total,8610734,7843,7843,top_qtl,strong
enhancer,79188,70,68,top_pip,strong
promoter,87181,304,277,top_pip,strong
open_chromatin_region,225743,154,158,top_pip,strong
promoter_flanking_region,228517,275,247,top_pip,strong
TF_binding_site,42874,59,35,top_pip,strong
total,8610734,5562,5484,top_pip,strong
enhancer,79188,55,50,top_pip,strong (in both)
promoter,87181,246,241,top_pip,strong (in both)
open_chromatin_region,225743,112,118,top_pip,strong (in both)
promoter_flanking_region,228517,207,192,top_pip,strong (in both)
TF_binding_site,42874,45,25,top_pip,strong (in both)
total,8610734,4073,4073,top_pip,strong (in both)
enhancer,79188,914,385,95%_cs,strong
promoter,87181,2982,1684,95%_cs,strong
open_chromatin_region,225743,2059,895,95%_cs,strong
promoter_flanking_region,228517,2793,1209,95%_cs,strong
TF_binding_site,42874,637,314,95%_cs,strong
total,8610734,83324,41455,95%_cs,strong
enhancer,79188,206,326,95%_cs,strong (in both)
promoter,87181,1109,1334,95%_cs,strong (in both)
open_chromatin_region,225743,621,739,95%_cs,strong (in both)
promoter_flanking_region,228517,735,979,95%_cs,strong (in both)
TF_binding_site,42874,207,273,95%_cs,strong (in both)
total,8610734,25413,33735,95%_cs,strong (in both)
enhancer,79188,132,223,95%_cs (shared),strong (in both)
promoter,87181,839,1034,95%_cs (shared),strong (in both)
open_chromatin_region,225743,396,580,95%_cs (shared),strong (in both)
promoter_flanking_region,228517,438,715,95%_cs (shared),strong (in both)
TF_binding_site,42874,123,207,95%_cs (shared),strong (in both)
total,8610734,16883,25404,95%_cs (shared),strong (in both)
enhancer,79188,782,162,95%_cs (not shared),strong
promoter,87181,2143,650,95%_cs (not shared),strong
open_chromatin_region,225743,1663,315,95%_cs (not shared),strong
promoter_flanking_region,228517,2355,494,95%_cs (not shared),strong
TF_binding_site,42874,514,107,95%_cs (not shared),strong
total,8610734,66441,16051,95%_cs (not shared),strong
enhancer,79188,14,10,95%_cs (shared) top snp,strong (in both)
promoter,87181,109,90,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,225743,14,16,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,228517,32,31,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42874,8,7,95%_cs (shared) top snp,strong (in both)
total,8610734,702,695,95%_cs (shared) top snp,strong (in both)
enhancer,79188,35,5,95%_cs (not shared) top snp,strong
promoter,87181,166,64,95%_cs (not shared) top snp,strong
open_chromatin_region,225743,89,10,95%_cs (not shared) top snp,strong
promoter_flanking_region,228517,160,32,95%_cs (not shared) top snp,strong
TF_binding_site,42874,31,3,95%_cs (not shared) top snp,strong
total,8610734,3039,546,95%_cs (not shared) top snp,strong
