,baseline,mixqtl,eqtl,type,gene_list
enhancer,80941,308,326,top_qtl,all
promoter,88891,1067,1343,top_qtl,all
open_chromatin_region,242201,692,720,top_qtl,all
promoter_flanking_region,233127,1224,1272,top_qtl,all
TF_binding_site,44658,211,199,top_qtl,all
total,9913102,24671,24671,top_qtl,all
enhancer,79296,117,121,top_qtl,strong
promoter,87112,472,538,top_qtl,strong
open_chromatin_region,224837,225,238,top_qtl,strong
promoter_flanking_region,228855,469,427,top_qtl,strong
TF_binding_site,42889,70,74,top_qtl,strong
total,8544851,8019,8019,top_qtl,strong
enhancer,79296,88,106,top_pip,strong
promoter,87112,392,460,top_pip,strong
open_chromatin_region,224837,187,181,top_pip,strong
promoter_flanking_region,228855,356,361,top_pip,strong
TF_binding_site,42889,61,53,top_pip,strong
total,8544851,5826,6173,top_pip,strong
enhancer,79296,71,85,top_pip,strong (in both)
promoter,87112,334,392,top_pip,strong (in both)
open_chromatin_region,224837,166,134,top_pip,strong (in both)
promoter_flanking_region,228855,290,281,top_pip,strong (in both)
TF_binding_site,42889,46,47,top_pip,strong (in both)
total,8544851,4787,4787,top_pip,strong (in both)
enhancer,79296,1181,608,95%_cs,strong
promoter,87112,3761,2770,95%_cs,strong
open_chromatin_region,224837,2465,1425,95%_cs,strong
promoter_flanking_region,228855,3890,2415,95%_cs,strong
TF_binding_site,42889,800,473,95%_cs,strong
total,8544851,104550,65622,95%_cs,strong
enhancer,79296,503,505,95%_cs,strong (in both)
promoter,87112,2146,2351,95%_cs,strong (in both)
open_chromatin_region,224837,1219,1165,95%_cs,strong (in both)
promoter_flanking_region,228855,1776,2007,95%_cs,strong (in both)
TF_binding_site,42889,416,414,95%_cs,strong (in both)
total,8544851,52929,53666,95%_cs,strong (in both)
enhancer,79296,255,386,95%_cs (shared),strong (in both)
promoter,87112,1497,1807,95%_cs (shared),strong (in both)
open_chromatin_region,224837,689,887,95%_cs (shared),strong (in both)
promoter_flanking_region,228855,958,1439,95%_cs (shared),strong (in both)
TF_binding_site,42889,256,314,95%_cs (shared),strong (in both)
total,8544851,31903,40885,95%_cs (shared),strong (in both)
enhancer,79296,926,222,95%_cs (not shared),strong
promoter,87112,2264,963,95%_cs (not shared),strong
open_chromatin_region,224837,1776,538,95%_cs (not shared),strong
promoter_flanking_region,228855,2932,976,95%_cs (not shared),strong
TF_binding_site,42889,544,159,95%_cs (not shared),strong
total,8544851,72647,24737,95%_cs (not shared),strong
enhancer,79296,23,24,95%_cs (shared) top snp,strong (in both)
promoter,87112,196,204,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,224837,47,47,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,228855,83,96,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42889,23,16,95%_cs (shared) top snp,strong (in both)
total,8544851,1541,1523,95%_cs (shared) top snp,strong (in both)
enhancer,79296,58,9,95%_cs (not shared) top snp,strong
promoter,87112,201,130,95%_cs (not shared) top snp,strong
open_chromatin_region,224837,116,18,95%_cs (not shared) top snp,strong
promoter_flanking_region,228855,249,66,95%_cs (not shared) top snp,strong
TF_binding_site,42889,36,15,95%_cs (not shared) top snp,strong
total,8544851,3903,1039,95%_cs (not shared) top snp,strong
