,baseline,mixqtl,eqtl,type,gene_list
enhancer,80941,325,314,top_qtl,all
promoter,88890,820,836,top_qtl,all
open_chromatin_region,242570,701,684,top_qtl,all
promoter_flanking_region,233165,1039,1121,top_qtl,all
TF_binding_site,44639,215,211,top_qtl,all
total,9937966,24349,24349,top_qtl,all
enhancer,79250,88,88,top_qtl,strong
promoter,87106,323,270,top_qtl,strong
open_chromatin_region,226470,220,198,top_qtl,strong
promoter_flanking_region,228102,309,342,top_qtl,strong
TF_binding_site,42840,70,54,top_qtl,strong
total,8560120,6914,6914,top_qtl,strong
enhancer,79250,62,46,top_pip,strong
promoter,87106,255,132,top_pip,strong
open_chromatin_region,226470,133,112,top_pip,strong
promoter_flanking_region,228102,197,164,top_pip,strong
TF_binding_site,42840,51,28,top_pip,strong
total,8560120,4473,3648,top_pip,strong
enhancer,79250,43,36,top_pip,strong (in both)
promoter,87106,160,109,top_pip,strong (in both)
open_chromatin_region,226470,78,75,top_pip,strong (in both)
promoter_flanking_region,228102,117,117,top_pip,strong (in both)
TF_binding_site,42840,32,20,top_pip,strong (in both)
total,8560120,2644,2644,top_pip,strong (in both)
enhancer,79250,723,144,95%_cs,strong
promoter,87106,2398,479,95%_cs,strong
open_chromatin_region,226470,1659,290,95%_cs,strong
promoter_flanking_region,228102,2118,345,95%_cs,strong
TF_binding_site,42840,507,120,95%_cs,strong
total,8560120,68334,14985,95%_cs,strong
enhancer,79250,83,139,95%_cs,strong (in both)
promoter,87106,377,449,95%_cs,strong (in both)
open_chromatin_region,226470,219,280,95%_cs,strong (in both)
promoter_flanking_region,228102,250,332,95%_cs,strong (in both)
TF_binding_site,42840,63,119,95%_cs,strong (in both)
total,8560120,10391,14415,95%_cs,strong (in both)
enhancer,79250,69,135,95%_cs (shared),strong (in both)
promoter,87106,251,425,95%_cs (shared),strong (in both)
open_chromatin_region,226470,169,269,95%_cs (shared),strong (in both)
promoter_flanking_region,228102,157,317,95%_cs (shared),strong (in both)
TF_binding_site,42840,50,103,95%_cs (shared),strong (in both)
total,8560120,7935,13489,95%_cs (shared),strong (in both)
enhancer,79250,654,9,95%_cs (not shared),strong
promoter,87106,2147,54,95%_cs (not shared),strong
open_chromatin_region,226470,1490,21,95%_cs (not shared),strong
promoter_flanking_region,228102,1961,28,95%_cs (not shared),strong
TF_binding_site,42840,457,17,95%_cs (not shared),strong
total,8560120,60399,1496,95%_cs (not shared),strong
enhancer,79250,1,1,95%_cs (shared) top snp,strong (in both)
promoter,87106,28,25,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,226470,5,4,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,228102,7,5,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42840,3,2,95%_cs (shared) top snp,strong (in both)
total,8560120,182,180,95%_cs (shared) top snp,strong (in both)
enhancer,79250,41,0,95%_cs (not shared) top snp,strong
promoter,87106,174,4,95%_cs (not shared) top snp,strong
open_chromatin_region,226470,83,0,95%_cs (not shared) top snp,strong
promoter_flanking_region,228102,114,2,95%_cs (not shared) top snp,strong
TF_binding_site,42840,30,0,95%_cs (not shared) top snp,strong
total,8560120,2465,46,95%_cs (not shared) top snp,strong
