,baseline,mixqtl,eqtl,type,gene_list
enhancer,80952,302,303,top_qtl,all
promoter,88903,716,787,top_qtl,all
open_chromatin_region,243030,753,724,top_qtl,all
promoter_flanking_region,233205,1126,1056,top_qtl,all
TF_binding_site,44696,216,215,top_qtl,all
total,10010441,24941,24941,top_qtl,all
enhancer,79495,103,103,top_qtl,strong
promoter,87332,302,238,top_qtl,strong
open_chromatin_region,227521,213,201,top_qtl,strong
promoter_flanking_region,228984,328,309,top_qtl,strong
TF_binding_site,42908,67,60,top_qtl,strong
total,8623852,6962,6962,top_qtl,strong
enhancer,79495,79,66,top_pip,strong
promoter,87332,235,106,top_pip,strong
open_chromatin_region,227521,152,127,top_pip,strong
promoter_flanking_region,228984,225,217,top_pip,strong
TF_binding_site,42908,46,39,top_pip,strong
total,8623852,4856,4506,top_pip,strong
enhancer,79495,63,47,top_pip,strong (in both)
promoter,87332,170,85,top_pip,strong (in both)
open_chromatin_region,227521,102,85,top_pip,strong (in both)
promoter_flanking_region,228984,151,162,top_pip,strong (in both)
TF_binding_site,42908,31,29,top_pip,strong (in both)
total,8623852,3351,3351,top_pip,strong (in both)
enhancer,79495,657,137,95%_cs,strong
promoter,87332,2417,415,95%_cs,strong
open_chromatin_region,227521,1681,319,95%_cs,strong
promoter_flanking_region,228984,2282,360,95%_cs,strong
TF_binding_site,42908,534,135,95%_cs,strong
total,8623852,67471,14093,95%_cs,strong
enhancer,79495,82,135,95%_cs,strong (in both)
promoter,87332,281,399,95%_cs,strong (in both)
open_chromatin_region,227521,211,314,95%_cs,strong (in both)
promoter_flanking_region,228984,169,356,95%_cs,strong (in both)
TF_binding_site,42908,79,130,95%_cs,strong (in both)
total,8623852,8661,13700,95%_cs,strong (in both)
enhancer,79495,73,131,95%_cs (shared),strong (in both)
promoter,87332,217,374,95%_cs (shared),strong (in both)
open_chromatin_region,227521,166,291,95%_cs (shared),strong (in both)
promoter_flanking_region,228984,106,265,95%_cs (shared),strong (in both)
TF_binding_site,42908,73,130,95%_cs (shared),strong (in both)
total,8623852,6625,12459,95%_cs (shared),strong (in both)
enhancer,79495,584,6,95%_cs (not shared),strong
promoter,87332,2200,41,95%_cs (not shared),strong
open_chromatin_region,227521,1515,28,95%_cs (not shared),strong
promoter_flanking_region,228984,2176,95,95%_cs (not shared),strong
TF_binding_site,42908,461,5,95%_cs (not shared),strong
total,8623852,60846,1634,95%_cs (not shared),strong
enhancer,79495,1,1,95%_cs (shared) top snp,strong (in both)
promoter,87332,25,17,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,227521,5,1,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,228984,4,6,95%_cs (shared) top snp,strong (in both)
TF_binding_site,42908,2,2,95%_cs (shared) top snp,strong (in both)
total,8623852,152,152,95%_cs (shared) top snp,strong (in both)
enhancer,79495,36,0,95%_cs (not shared) top snp,strong
promoter,87332,160,1,95%_cs (not shared) top snp,strong
open_chromatin_region,227521,63,3,95%_cs (not shared) top snp,strong
promoter_flanking_region,228984,103,2,95%_cs (not shared) top snp,strong
TF_binding_site,42908,25,0,95%_cs (not shared) top snp,strong
total,8623852,2445,43,95%_cs (not shared) top snp,strong
