,baseline,mixqtl,eqtl,type,gene_list
enhancer,80706,261,240,top_qtl,all
promoter,88566,1544,1593,top_qtl,all
open_chromatin_region,238145,485,507,top_qtl,all
promoter_flanking_region,232261,1422,1413,top_qtl,all
TF_binding_site,44291,159,165,top_qtl,all
total,9452301,19696,19696,top_qtl,all
enhancer,75478,86,76,top_qtl,strong
promoter,84001,617,596,top_qtl,strong
open_chromatin_region,207384,150,149,top_qtl,strong
promoter_flanking_region,221906,592,597,top_qtl,strong
TF_binding_site,41210,51,61,top_qtl,strong
total,7763170,6020,6020,top_qtl,strong
enhancer,75478,71,75,top_pip,strong
promoter,84001,579,555,top_pip,strong
open_chromatin_region,207384,134,134,top_pip,strong
promoter_flanking_region,221906,516,560,top_pip,strong
TF_binding_site,41210,49,46,top_pip,strong
total,7763170,5080,5233,top_pip,strong
enhancer,75478,67,65,top_pip,strong (in both)
promoter,84001,551,534,top_pip,strong (in both)
open_chromatin_region,207384,123,115,top_pip,strong (in both)
promoter_flanking_region,221906,488,525,top_pip,strong (in both)
TF_binding_site,41210,44,43,top_pip,strong (in both)
total,7763170,4690,4690,top_pip,strong (in both)
enhancer,75478,973,591,95%_cs,strong
promoter,84001,3948,2825,95%_cs,strong
open_chromatin_region,207384,1853,1152,95%_cs,strong
promoter_flanking_region,221906,5009,3393,95%_cs,strong
TF_binding_site,41210,562,311,95%_cs,strong
total,7763170,75570,47621,95%_cs,strong
enhancer,75478,689,568,95%_cs,strong (in both)
promoter,84001,2955,2750,95%_cs,strong (in both)
open_chromatin_region,207384,1301,1124,95%_cs,strong (in both)
promoter_flanking_region,221906,3785,3329,95%_cs,strong (in both)
TF_binding_site,41210,406,301,95%_cs,strong (in both)
total,7763170,54247,46264,95%_cs,strong (in both)
enhancer,75478,364,450,95%_cs (shared),strong (in both)
promoter,84001,1937,2260,95%_cs (shared),strong (in both)
open_chromatin_region,207384,678,871,95%_cs (shared),strong (in both)
promoter_flanking_region,221906,2160,2672,95%_cs (shared),strong (in both)
TF_binding_site,41210,181,234,95%_cs (shared),strong (in both)
total,7763170,28358,35800,95%_cs (shared),strong (in both)
enhancer,75478,609,141,95%_cs (not shared),strong
promoter,84001,2011,565,95%_cs (not shared),strong
open_chromatin_region,207384,1175,281,95%_cs (not shared),strong
promoter_flanking_region,221906,2849,721,95%_cs (not shared),strong
TF_binding_site,41210,381,77,95%_cs (not shared),strong
total,7763170,47212,11821,95%_cs (not shared),strong
enhancer,75478,47,46,95%_cs (shared) top snp,strong (in both)
promoter,84001,472,446,95%_cs (shared) top snp,strong (in both)
open_chromatin_region,207384,81,91,95%_cs (shared) top snp,strong (in both)
promoter_flanking_region,221906,432,424,95%_cs (shared) top snp,strong (in both)
TF_binding_site,41210,29,26,95%_cs (shared) top snp,strong (in both)
total,7763170,3262,3221,95%_cs (shared) top snp,strong (in both)
enhancer,75478,79,10,95%_cs (not shared) top snp,strong
promoter,84001,379,113,95%_cs (not shared) top snp,strong
open_chromatin_region,207384,148,18,95%_cs (not shared) top snp,strong
promoter_flanking_region,221906,513,114,95%_cs (not shared) top snp,strong
TF_binding_site,41210,52,12,95%_cs (not shared) top snp,strong
total,7763170,5368,1153,95%_cs (not shared) top snp,strong
