method,tissue,unique_pair,unique_gene
eqtl,Adipose_Subcutaneous,5127644,13202
eqtl,Adipose_Visceral_Omentum,3792940,11223
eqtl,Adrenal_Gland,2097162,8028
eqtl,Artery_Aorta,3791009,11217
eqtl,Artery_Coronary,1664477,6888
eqtl,Artery_Tibial,5076885,12837
eqtl,Brain_Amygdala,939502,4720
eqtl,Brain_Anterior_cingulate_cortex_BA24,1250850,5974
eqtl,Brain_Caudate_basal_ganglia,1924641,8055
eqtl,Brain_Cerebellar_Hemisphere,2365697,9218
eqtl,Brain_Cerebellum,2951351,10339
eqtl,Brain_Cortex,2222392,8627
eqtl,Brain_Frontal_Cortex_BA9,1736286,7439
eqtl,Brain_Hippocampus,1295346,6136
eqtl,Brain_Hypothalamus,1337424,6097
eqtl,Brain_Nucleus_accumbens_basal_ganglia,1967084,8093
eqtl,Brain_Putamen_basal_ganglia,1584352,7063
eqtl,Brain_Spinal_cord_cervical_c-1,1043052,5330
eqtl,Brain_Substantia_nigra,797285,4459
eqtl,Breast_Mammary_Tissue,3242130,10349
eqtl,Cells_Cultured_fibroblasts,4847501,12683
eqtl,Cells_EBV-transformed_lymphocytes,1160914,5685
eqtl,Colon_Sigmoid,2921991,9774
eqtl,Colon_Transverse,3251161,10563
eqtl,Esophagus_Gastroesophageal_Junction,3080860,9918
eqtl,Esophagus_Mucosa,4602859,12462
eqtl,Esophagus_Muscularis,4490170,12146
eqtl,Heart_Atrial_Appendage,3129815,10036
eqtl,Heart_Left_Ventricle,2767607,8960
eqtl,Kidney_Cortex,404761,2813
eqtl,Liver,1475722,6194
eqtl,Lung,4366822,12432
eqtl,Minor_Salivary_Gland,1148170,5809
eqtl,Muscle_Skeletal,4479271,11444
eqtl,Nerve_Tibial,5944204,14837
eqtl,Ovary,1415425,6295
eqtl,Pancreas,2707736,9207
eqtl,Pituitary,2564667,9046
eqtl,Prostate,1837087,7593
eqtl,Skin_Not_Sun_Exposed_Suprapubic,4684200,12949
eqtl,Skin_Sun_Exposed_Lower_leg,5502204,13891
eqtl,Small_Intestine_Terminal_Ileum,1494409,7071
eqtl,Spleen,2518742,9936
eqtl,Stomach,2428617,8578
eqtl,Testis,5285153,16641
eqtl,Thyroid,6254711,14880
eqtl,Uterus,913344,4704
eqtl,Vagina,925175,4848
eqtl,Whole_Blood,4271894,10868
mixqtl,Adipose_Subcutaneous,7138224,15097
mixqtl,Adipose_Visceral_Omentum,4441568,12050
mixqtl,Adrenal_Gland,2552102,9490
mixqtl,Artery_Aorta,3947715,11278
mixqtl,Artery_Coronary,2095466,8811
mixqtl,Artery_Tibial,6950918,14408
mixqtl,Brain_Amygdala,1186112,7629
mixqtl,Brain_Anterior_cingulate_cortex_BA24,1444264,7923
mixqtl,Brain_Caudate_basal_ganglia,2187247,9471
mixqtl,Brain_Cerebellar_Hemisphere,2725586,10550
mixqtl,Brain_Cerebellum,3068854,10724
mixqtl,Brain_Cortex,2454520,9818
mixqtl,Brain_Frontal_Cortex_BA9,1880035,9024
mixqtl,Brain_Hippocampus,1443195,7776
mixqtl,Brain_Hypothalamus,1637754,7922
mixqtl,Brain_Nucleus_accumbens_basal_ganglia,2060906,8887
mixqtl,Brain_Putamen_basal_ganglia,1693387,8148
mixqtl,Brain_Spinal_cord_cervical_c-1,1349051,7244
mixqtl,Brain_Substantia_nigra,1023119,6733
mixqtl,Breast_Mammary_Tissue,3723574,11511
mixqtl,Cells_Cultured_fibroblasts,5094342,12237
mixqtl,Cells_EBV-transformed_lymphocytes,1716229,8305
mixqtl,Colon_Sigmoid,3290750,10738
mixqtl,Colon_Transverse,3909921,11724
mixqtl,Esophagus_Gastroesophageal_Junction,3324962,10496
mixqtl,Esophagus_Mucosa,4903919,12506
mixqtl,Esophagus_Muscularis,4689598,11788
mixqtl,Heart_Atrial_Appendage,3413819,10378
mixqtl,Heart_Left_Ventricle,3123069,9528
mixqtl,Kidney_Cortex,863149,6120
mixqtl,Liver,1852982,7680
mixqtl,Lung,6028323,14772
mixqtl,Minor_Salivary_Gland,1675085,9128
mixqtl,Muscle_Skeletal,6188791,12883
mixqtl,Nerve_Tibial,6546645,14695
mixqtl,Ovary,2131109,9025
mixqtl,Pancreas,2995525,9628
mixqtl,Pituitary,2961236,10766
mixqtl,Prostate,2634379,10311
mixqtl,Skin_Not_Sun_Exposed_Suprapubic,6348974,14269
mixqtl,Skin_Sun_Exposed_Lower_leg,7394164,15761
mixqtl,Small_Intestine_Terminal_Ileum,1816376,8623
mixqtl,Spleen,3043484,11023
mixqtl,Stomach,2817374,9813
mixqtl,Testis,5745269,16455
mixqtl,Thyroid,9078356,16754
mixqtl,Uterus,1567236,7873
mixqtl,Vagina,1575175,8421
mixqtl,Whole_Blood,5650521,11905
trcqtl,Adipose_Subcutaneous,5520246,13210
trcqtl,Adipose_Visceral_Omentum,2589944,8203
trcqtl,Adrenal_Gland,1280394,5541
trcqtl,Artery_Aorta,2288663,7776
trcqtl,Artery_Coronary,1042948,5124
trcqtl,Artery_Tibial,5478957,12851
trcqtl,Brain_Amygdala,667318,5357
trcqtl,Brain_Anterior_cingulate_cortex_BA24,767544,5123
trcqtl,Brain_Caudate_basal_ganglia,1384635,6853
trcqtl,Brain_Cerebellar_Hemisphere,1517413,7279
trcqtl,Brain_Cerebellum,1762137,7231
trcqtl,Brain_Cortex,1620937,7211
trcqtl,Brain_Frontal_Cortex_BA9,1047025,5975
trcqtl,Brain_Hippocampus,729349,4396
trcqtl,Brain_Hypothalamus,900467,4822
trcqtl,Brain_Nucleus_accumbens_basal_ganglia,1112435,5595
trcqtl,Brain_Putamen_basal_ganglia,956163,5183
trcqtl,Brain_Spinal_cord_cervical_c-1,698862,4389
trcqtl,Brain_Substantia_nigra,549247,4232
trcqtl,Breast_Mammary_Tissue,1899256,6678
trcqtl,Cells_Cultured_fibroblasts,3363289,9507
trcqtl,Cells_EBV-transformed_lymphocytes,909727,5069
trcqtl,Colon_Sigmoid,1727141,6973
trcqtl,Colon_Transverse,2222520,7461
trcqtl,Esophagus_Gastroesophageal_Junction,1733057,6291
trcqtl,Esophagus_Mucosa,2986882,8669
trcqtl,Esophagus_Muscularis,2652264,7469
trcqtl,Heart_Atrial_Appendage,1989273,6935
trcqtl,Heart_Left_Ventricle,1893156,6496
trcqtl,Kidney_Cortex,449632,3531
trcqtl,Liver,930532,4455
trcqtl,Lung,4163542,12061
trcqtl,Minor_Salivary_Gland,908248,5971
trcqtl,Muscle_Skeletal,4514400,11248
trcqtl,Nerve_Tibial,4430328,11274
trcqtl,Ovary,1124013,5157
trcqtl,Pancreas,2068024,7215
trcqtl,Pituitary,1417820,6491
trcqtl,Prostate,1298594,5385
trcqtl,Skin_Not_Sun_Exposed_Suprapubic,4612936,11021
trcqtl,Skin_Sun_Exposed_Lower_leg,5742566,13828
trcqtl,Small_Intestine_Terminal_Ileum,718034,3914
trcqtl,Spleen,1747295,7121
trcqtl,Stomach,1497758,5907
trcqtl,Testis,3290034,10798
trcqtl,Thyroid,7272327,15027
trcqtl,Uterus,790504,4115
trcqtl,Vagina,783092,4885
trcqtl,Whole_Blood,4453116,10822
